100,1000000,16572,4615,0.0166,
150,1000000,11787,3489,0.0118,
200,1000000,7444,2380,0.0074,
250,1000000,5965,1950,0.0060,
300,1000000,5166,1708,0.0052,
350,1000000,4613,1464,0.0046,
400,1000000,4292,1342,0.0043,
450,1000000,4048,1255,0.0040,
500,1000000,3769,1179,0.0038,
550,1000000,3567,1132,0.0036,
600,1000000,3355,1066,0.0034,
650,1000000,3186,1028,0.0032,
700,1000000,3115,969,0.0031,
750,1000000,3052,946,0.0031,
800,1000000,3052,946,0.0031,
850,1000000,2930,879,0.0029,
900,1000000,2908,878,0.0029,
950,1000000,2876,835,0.0029,
1000,1000000,2883,812,0.0029,
