1000,1000000,7328,1802,0.0073,
1100,1000000,6607,1590,0.0066,
1200,1000000,6068,1415,0.0061,
1300,1000000,5454,1291,0.0055,
1400,1000000,5004,1128,0.0050,
1500,1000000,4576,1035,0.0046,
1600,1000000,4312,937,0.0043,
1700,1000000,4121,826,0.0041,
1800,1000000,3843,736,0.0038,
1900,1000000,3688,669,0.0037,
2000,1000000,3453,564,0.0035,
2100,1000000,3355,483,0.0034,
2200,1000000,3198,391,0.0032,
2300,1000000,3108,333,0.0031,
2400,1000000,3063,259,0.0031,
2500,1000000,2996,189,0.0030,
2600,1000000,2936,118,0.0029,
2700,1000000,2882,77,0.0029,
2800,1000000,2860,21,0.0029,
