10,1000000,283829,51789,0.2838,
15,1000000,208048,42160,0.2080,
20,1000000,153087,32378,0.1531,
25,1000000,115852,24965,0.1159,
30,1000000,91223,19821,0.0912,
35,1000000,74536,16254,0.0745,
40,1000000,62527,13940,0.0625,
45,1000000,53420,12087,0.0534,
50,1000000,47057,10746,0.0471,
55,1000000,41833,9862,0.0418,
60,1000000,38055,8947,0.0381,
65,1000000,34741,8412,0.0347,
70,1000000,32033,7851,0.0320,
75,1000000,30001,7409,0.0300,
80,1000000,28272,7168,0.0283,
85,1000000,26501,6817,0.0265,
90,1000000,25163,6527,0.0252,
95,1000000,24146,6259,0.0241,
100,1000000,22918,6052,0.0229,
