10,1000000,257655,53212,0.2577,
15,1000000,183158,47753,0.1832,
20,1000000,115939,29937,0.1159,
25,1000000,70793,15395,0.0708,
30,1000000,52625,10501,0.0526,
35,1000000,43112,8857,0.0431,
40,1000000,36485,7914,0.0365,
45,1000000,31639,7285,0.0316,
50,1000000,27981,6758,0.0280,
55,1000000,25013,6272,0.0250,
60,1000000,22933,5914,0.0229,
65,1000000,21373,5626,0.0214,
70,1000000,20139,5405,0.0201,
75,1000000,19172,5238,0.0192,
80,1000000,18410,5093,0.0184,
85,1000000,17776,4965,0.0178,
90,1000000,17128,4810,0.0171,
95,1000000,16482,4629,0.0165,
100,1000000,15921,4464,0.0159,
