1000,1000000,3460,1029,0.0035,
1500,1000000,2944,621,0.0029,
2000,1000000,2681,315,0.0027,
2500,1000000,2545,21,0.0025,
3000,1000000,2543,0,0.0025,
3500,1000000,2543,0,0.0025,
4000,1000000,2543,0,0.0025,
4500,1000000,2543,0,0.0025,
5000,1000000,2543,0,0.0025,
5500,1000000,2543,0,0.0025,
6000,1000000,2543,0,0.0025,
6500,1000000,2543,0,0.0025,
7000,1000000,2543,0,0.0025,
7500,1000000,2543,0,0.0025,
8000,1000000,2543,0,0.0025,
8500,1000000,2543,0,0.0025,
9000,1000000,2543,0,0.0025,
9500,1000000,2543,0,0.0025,
10000,1000000,2543,0,0.0025,
