1000,1000000,2883,812,0.0029,
1500,1000000,2714,549,0.0027,
2000,1000000,2640,282,0.0026,
2500,1000000,2545,17,0.0025,
3000,1000000,2543,0,0.0025,
3500,1000000,2543,0,0.0025,
4000,1000000,2543,0,0.0025,
4500,1000000,2543,0,0.0025,
5000,1000000,2543,0,0.0025,
5500,1000000,2543,0,0.0025,
6000,1000000,2543,0,0.0025,
6500,1000000,2543,0,0.0025,
7000,1000000,2543,0,0.0025,
7500,1000000,2543,0,0.0025,
8000,1000000,2543,0,0.0025,
8500,1000000,2543,0,0.0025,
9000,1000000,2543,0,0.0025,
9500,1000000,2543,0,0.0025,
10000,1000000,2543,0,0.0025,
