100,1000000,15921,4464,0.0159,
150,1000000,11086,3298,0.0111,
200,1000000,7158,2270,0.0072,
250,1000000,5777,1903,0.0058,
300,1000000,5159,1709,0.0052,
350,1000000,4602,1447,0.0046,
400,1000000,4278,1341,0.0043,
450,1000000,3965,1255,0.0040,
500,1000000,3700,1177,0.0037,
550,1000000,3449,1115,0.0034,
600,1000000,3286,1060,0.0033,
650,1000000,3183,1022,0.0032,
700,1000000,3090,975,0.0031,
750,1000000,3018,936,0.0030,
800,1000000,2963,919,0.0030,
850,1000000,2906,897,0.0029,
900,1000000,2865,858,0.0029,
950,1000000,2837,837,0.0028,
1000,1000000,2813,803,0.0028,
